date,1w,1m,3m,6m,1y,2y,3y,5y,7y,10y
1999-01-04,3.631370645227472,3.2073973983301363,3.040118417988147,2.792251514175015,2.69922231449935,3.4170075718176207,3.738901754294832,3.3436086401923415,2.958540638317042,3.1194383232143297
1999-01-05,3.6298903337782518,3.206365417163437,3.037485420572228,2.788711225219065,2.6986314926836563,3.419288192886638,3.7391385803504873,3.342963143578781,2.9581941111821886,3.1191617573691266
1999-01-06,3.6269297739131012,3.2046454710125793,3.034966964606989,2.785113959233243,2.6978437347944473,3.421526367727412,3.739375406946799,3.3423119887100006,2.9578475852135133,3.118885192265597
1999-01-07,3.619528743264744,3.202581573748775,3.033478817257551,2.7814026262776625,2.696943447216338,3.4237504245790973,3.7396027609566396,3.341649513619238,2.9574970311078808,3.118605802978025
1999-01-08,3.6032483230109102,3.2005177177601096,3.032334103624823,2.777577237670714,2.696043167530915,3.4259745292588573,3.73976380383636,3.340987042775345,2.9571464781959156,3.1183238719522333
1999-01-11,3.5425892577978013,3.1926066501188455,3.018598475537737,2.766101926082798,2.693933169664886,3.432675464326218,3.740142729434459,3.338999655724084,2.956094826621314,3.117444466322006
1999-01-12,3.5100550924520135,3.1891672427031503,3.0136769844250955,2.76233419223737,2.6935674416627364,3.434970598251108,3.740275353745215,3.338342863757804,2.955748307718231,3.1171478485724213
1999-01-13,3.4834438408970048,3.1853840253964316,3.00841239015317,2.75862367977433,2.6931454492021167,3.437265783733423,3.74041745142899,3.3376917378227677,2.955405819203949,3.1168540565547964
1999-01-14,3.461273027153422,3.1819448568259467,3.001774794218104,2.755027464782689,2.6927234583592696,3.439575188745203,3.7405690225266186,3.3370462778131715,2.95505930243003,3.116563090245439
1999-01-15,3.447972822609491,3.1791936037497193,2.9951376223564363,2.7516026146639394,2.692357734264683,3.441912983169204,3.7407300671266297,3.3364008214814778,2.9546765229468086,3.116276079520053
1999-01-18,3.4450174457004046,3.1733474265736694,2.976258328353598,2.743212213100543,2.691598156728614,3.4491250648913008,3.741364775328848,3.3344418260050412,2.953641010431185,3.1154441474413375
1999-01-19,3.474574929544416,3.1733474265736694,2.970423600779748,2.7409292270410557,2.6911199055499324,3.4516047805517758,3.7416395013302406,3.333836016367031,2.9533509075428066,3.115187082887938
1999-01-20,3.4967486241393564,3.175066859137665,2.9645891974134475,2.7389316550314957,2.691035508583628,3.454070388378949,3.741952121629355,3.333275504070765,2.953089009768073,3.114941318339781
1999-01-21,3.513012348921163,3.1757546399044267,2.9584119567119815,2.736762907429724,2.6914293604453965,3.4564935419836296,3.7422363226019995,3.332703671740167,2.9528150252293495,3.1146870798729243
1999-01-22,3.5322363937794865,3.1757546399044267,2.952006322510914,2.734308853178491,2.691766948865415,3.458888409719041,3.742492104108175,3.332143166353929,2.9525329831608715,3.114430017277292
