date,1w,1m,3m,6m,1y,2y,3y,5y,7y,10y
2013-02-02,6.182816224512688,5.978335591202533,6.162090896581263,6.258517017478482,6.287071560561919,8.076759881983907,9.712662734561661,9.843030588955436,9.12781933579916,8.56422736833149
2013-02-03,6.073580306323678,5.994937542033529,6.173726158931525,6.262058461408837,6.2892779206074945,8.090703213435834,9.71783243040547,9.844071663230046,9.128033927184154,8.56469723724853
2013-02-04,5.964471898335644,6.0172235185860234,6.18535797824229,6.264896428360589,6.291434829404552,8.104501500259031,9.723272940122584,9.84501092749397,9.128248433586727,8.565155450872952
2013-02-05,5.922358042078879,6.046967742000042,6.196988712647511,6.267733880897608,6.293448819857406,8.118258467143647,9.728734556933794,9.845949898923267,9.128447139680972,8.565596091127503
2013-02-06,5.917819266898916,6.087620327489973,6.211500940976533,6.271913179899102,6.294992034894165,8.132014753590822,9.734215414602577,9.847025429530198,9.128709264273404,8.566101655102699
2013-02-07,5.954134879844908,6.131786748627954,6.223891062115117,6.276694789306059,6.296040274518533,8.145906105400114,9.739793544507446,9.848223016801395,9.129048173864396,8.566636574832964
2013-02-08,6.019231397023184,6.177344581870425,6.234984425600865,6.281535654713943,6.295195850012925,8.159849908941874,9.74540883569206,9.849468762138859,9.129404166920452,8.567182976941169
2013-02-09,6.141963816403195,6.23067191565827,6.248663943002897,6.286731002118029,6.294990276717161,8.174112877715434,9.751071441967895,9.85075063745613,9.129866883963889,8.567786692127521
2013-02-10,6.284435781346831,6.275999903478602,6.263868123394278,6.29239895745084,6.295161199834753,8.188987539816562,9.756864627895867,9.852104749944424,9.130384694709104,8.568405282407543
2013-02-11,6.427053381118775,6.3057783437785675,6.279068576345459,6.297657442199256,6.297172097563553,8.204783750605028,9.762858540933816,9.85341711278165,9.130902337097059,8.569027028590103
2013-02-12,6.628101606980197,6.325312876050182,6.294267661378328,6.302915006237031,6.300844836250574,8.220390665215538,9.768743545976676,9.854729130225582,9.13138705571801,8.56964601257273
2013-02-13,6.708852677519039,6.347640131890908,6.307376011289345,6.305561584849251,6.302650234756402,8.23519740874048,9.774136611481477,9.855774716753384,9.131645002531542,8.570133752336151
2013-02-14,6.797291746195566,6.364654546951876,6.318950506949306,6.308868417606983,6.303494709227175,8.249961702293373,9.7795067867807,9.856683514169507,9.131873098154418,8.570615159455919
2013-02-15,6.884277022237706,6.375612536778186,6.32851811090398,6.311998180067779,6.304630385524668,8.264466436050899,9.784703700494113,9.85752009339944,9.132032863205563,8.571045622161355
2013-02-16,6.9423064755823605,6.3812213541484475,6.337732138823471,6.315187075875706,6.305326647032161,8.278741315432136,9.78979669444271,9.858344638589877,9.132111528562948,8.571414404144573
2013-02-17,6.975764002398677,6.387957966044477,6.3439934022519795,6.317194944934967,6.305554075478703,8.2926809640661,9.794909449048173,9.859145112318668,9.132121479157806,8.57186348349308
2013-02-18,7.0092167128906535,6.378062320832822,6.350252671571233,6.318676660352085,6.306692384981005,8.307024161547695,9.800303225148665,9.860024374681696,9.132131429753887,8.572265248397759
2013-02-19,7.066059747113695,6.378835215611045,6.356509946385724,6.32015780588524,6.30762948380208,8.320717971833558,9.805518222045983,9.860903343174133,9.132146804064734,8.572691074557737
