date,1w,1m,3m,6m,1y,2y,3y,5y,7y,10y
2013-01-04,2.1963000491734608,1.930794237042699,2.1269978955486213,2.9751155956845077,3.086512954011855,2.798735890768733,2.438770336944862,2.2919347471147544,2.220808834655008,1.9585707739476987
2013-01-05,2.130189499525681,1.9401716883644449,2.1217331079978363,2.9796405515859936,3.0877809812252632,2.799952495034841,2.4382474142261135,2.2919056026983853,2.220250746278074,1.9599761200505883
2013-01-06,2.1010151283376244,1.9723197168231232,2.1193390727212824,2.985796202385993,3.0895206689435017,2.8009776169694467,2.4379443249475274,2.292006487630771,2.2197938746143064,1.9614521560417542
2013-01-07,2.083368648476469,2.0198125154877733,2.1174556488781304,2.992552977304763,3.091429844474125,2.8019379773573494,2.437726362794823,2.2921662225402484,2.219315400020583,1.962957543645083
2013-01-08,2.0763838167262794,2.0706070141520705,2.1177721973655084,2.999573975047176,3.093342164480961,2.8028914479386158,2.437544041884898,2.292351795702352,2.218940183943907,1.9644758310677357
2013-01-09,2.065593986978631,2.090001144671705,2.1177154681355725,3.0059311172347947,3.0951751566167474,2.803820847776195,2.4373691113851015,2.292528906086,2.2187033503284104,1.9659963479224718
2013-01-10,2.05422214538753,2.110692289726801,2.1179026748533447,3.012466054394247,3.0970364271132755,2.8048037681673854,2.4372297284008804,2.2927654272956843,2.2185365272054947,1.9675275027198014
2013-01-11,2.0354176367233467,2.131353586256668,2.1174363602214807,3.019007128783069,3.0988949067248805,2.805785289727347,2.437082861959894,2.2930652826976816,2.2184021889362526,1.9682539552646983
2013-01-14,1.9777138002703198,2.193771317279314,2.1147065885205096,3.0398560512571393,3.1043505021299156,2.808241251017418,2.436651618375829,2.294287129414996,2.2181187110192457,1.9695008781873247
2013-01-15,1.9557191436774257,2.215471523833812,2.1144263542552277,3.046851093844216,3.1062523321050195,2.8090200179514913,2.436537493447788,2.2947086140240103,2.218294732779369,1.969568090789764
