date,0d,1m,2m,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y
2015-01-04,2.9057,3.6228,3.5336,3.3351,3.2039,3.2425,3.2537,3.3145,3.3759,3.4481,3.5221,3.5633,3.5931,3.6131,3.6193,3.6285
2015-01-05,2.6867,3.3578,3.341,3.3551,3.2338,3.2738,3.2314,3.3071,3.3783,3.4507,3.522,3.5663,3.5955,3.6136,3.6196,3.6251
2015-01-06,2.2977,3.3584,3.4259,3.3722,3.202,3.2738,3.2189,3.2901,3.3589,3.4409,3.5238,3.5659,3.596,3.6191,3.6265,3.6353
2015-01-07,2.2977,3.4463,3.4302,3.3722,3.1822,3.2013,3.1767,3.2522,3.3255,3.412,3.5001,3.5493,3.5876,3.6161,3.6277,3.6408
2015-01-08,2.2467,3.4963,3.4639,3.3734,3.2022,3.201,3.189,3.2515,3.3146,3.4145,3.5199,3.558,3.5799,3.6066,3.6228,3.6415
2015-01-09,2.2467,3.5163,3.4965,3.3534,3.2054,3.2098,3.1787,3.2576,3.3337,3.4265,3.5212,3.5632,3.5915,3.6147,3.6229,3.6348
2015-01-12,2.1947,3.5173,3.5067,3.3634,3.2117,3.2049,3.2146,3.2544,3.3025,3.4096,3.5217,3.5558,3.5746,3.6,3.6175,3.6371
2015-01-13,2.1747,3.5223,3.4792,3.3433,3.2123,3.2062,3.2014,3.232,3.2681,3.3568,3.4551,3.4976,3.5301,3.5572,3.5697,3.5836
2015-01-14,2.1437,3.4191,3.4761,3.3433,3.218,3.2162,3.2012,3.2196,3.246,3.3367,3.4379,3.4713,3.4925,3.516,3.528,3.5411
2015-01-15,2.1387,3.4171,3.3961,3.2933,3.2248,3.2164,3.2059,3.209,3.2267,3.3452,3.4575,3.4836,3.4957,3.5138,3.5294,3.5464
2015-01-16,2.1407,3.3431,3.3091,3.208,3.1601,3.2018,3.2029,3.2088,3.2248,3.3103,3.4011,3.4252,3.439,3.4615,3.4815,3.5017
2015-01-19,2.1477,3.2782,3.2682,3.1906,3.1801,3.2018,3.1887,3.2026,3.2254,3.312,3.4013,3.4252,3.4385,3.4543,3.4633,3.475
2015-01-20,2.1747,3.3347,3.247,3.2206,3.1776,3.1962,3.1812,3.1936,3.2166,3.3128,3.399,3.4185,3.4277,3.4423,3.4561,3.4711
2015-01-21,2.1957,3.3912,3.2553,3.2006,3.2028,3.2011,3.1752,3.1909,3.2161,3.3012,3.382,3.4025,3.4132,3.4315,3.4487,3.4672
2015-01-22,2.1787,3.3572,3.2189,3.1606,3.1533,3.2011,3.1652,3.1809,3.2055,3.285,3.3651,3.3864,3.3986,3.4177,3.4343,3.4521
2015-01-23,2.1357,3.3162,3.1879,3.1706,3.1454,3.2111,3.1606,3.1741,3.196,3.2701,3.3513,3.3797,3.4002,3.4219,3.4356,3.452
2015-01-26,2.0957,3.1752,3.1497,3.1428,3.128,3.1422,3.1427,3.143,3.1534,3.2381,3.3272,3.3502,3.3645,3.3886,3.4108,3.4341
2015-01-27,2.0817,3.1516,3.1497,3.1428,3.1097,3.1044,3.0817,3.1241,3.1701,3.2444,3.322,3.3654,3.3979,3.4174,3.4239,3.4309
2015-01-28,2.0977,3.1578,3.1313,3.1147,3.1217,3.1083,3.0955,3.1333,3.1794,3.2799,3.3806,3.41,3.4275,3.4487,3.4611,3.4767
2015-01-29,2.1727,3.1307,3.1301,3.1547,3.1028,3.1079,3.098,3.1405,3.1927,3.3059,3.4086,3.4373,3.4502,3.468,3.4813,3.4966
2015-01-30,2.2207,3.185,3.1853,3.1847,3.1428,3.147,3.0963,3.1553,3.2198,3.3283,3.4117,3.4321,3.4402,3.4574,3.4795,3.5019
2015-02-02,2.2967,3.223,3.1853,3.1947,3.1368,3.1207,3.0832,3.1417,3.2044,3.2997,3.3753,3.3939,3.4036,3.4247,3.4491,3.4729
2015-02-03,2.3621,3.2417,3.2402,3.2347,3.1567,3.1344,3.0907,3.1432,3.2033,3.3162,3.3787,3.3876,3.3901,3.4035,3.4287,3.4533
2015-02-04,2.3807,3.303,3.2002,3.1699,3.1543,3.1368,3.0906,3.1288,3.1788,3.2973,3.3697,3.3815,3.3851,3.4014,3.4305,3.4589
2015-02-05,2.2737,3.1512,3.1655,3.1513,3.0543,3.0762,3.0804,3.082,3.098,3.2326,3.3384,3.3589,3.368,3.3804,3.3908,3.4018
2015-02-06,2.2637,3.144,3.1655,3.1513,3.0286,3.0883,3.0912,3.1066,3.1377,3.2529,3.3498,3.3724,3.3843,3.4019,3.417,3.4325
2015-02-09,2.2197,3.144,3.1432,3.1228,3.0586,3.0818,3.0856,3.1147,3.1536,3.2474,3.328,3.3485,3.358,3.3776,3.4007,3.4236
2015-02-10,2.2597,3.15,3.1688,3.1516,3.1162,3.089,3.0932,3.1102,3.1443,3.2543,3.3277,3.3407,3.3453,3.3647,3.3977,3.4299
2015-02-11,2.3397,3.163,3.1664,3.1516,3.0786,3.0844,3.0928,3.1037,3.1308,3.2275,3.2856,3.2934,3.2982,3.3221,3.3598,3.3955
2015-02-12,2.4657,3.174,3.1664,3.1388,3.0789,3.0806,3.0872,3.0947,3.1145,3.1867,3.2509,3.2654,3.2718,3.3008,3.3449,3.3865
2015-02-13,2.4987,3.1247,3.1867,3.1088,3.0815,3.0778,3.0859,3.086,3.0872,3.145,3.2167,3.2447,3.2613,3.2915,3.3236,3.3552
2015-02-15,2.5827,3.1546,3.1503,3.1135,3.052,3.0532,3.0656,3.066,3.0733,3.1413,3.2118,3.2344,3.2413,3.2692,3.3164,3.3625
2015-02-16,2.5897,3.1646,3.107,3.0756,3.0182,3.0432,3.0801,3.0527,3.0588,3.1288,3.1967,3.2152,3.2206,3.2477,3.2933,3.3374
2015-02-17,2.8077,3.1646,3.1072,3.0756,3.0182,3.0325,3.0624,3.0744,3.0948,3.1425,3.1974,3.2208,3.2314,3.2609,3.2999,3.3373
2015-02-25,2.7357,3.2132,3.0872,3.0656,3.0014,3.0459,3.0353,3.0524,3.0764,3.1337,3.1821,3.1945,3.1982,3.2336,3.2942,3.349
2015-02-26,2.7057,3.216,3.1176,3.0491,2.9858,3.0719,3.0353,3.0525,3.0762,3.1317,3.1934,3.2163,3.2258,3.2606,3.3108,3.3594
2015-02-27,2.7257,3.2571,3.1376,3.0691,3.0531,3.0562,3.0438,3.0786,3.1142,3.1632,3.2128,3.2329,3.2412,3.275,3.3255,3.3745
2015-02-28,2.7257,3.2572,3.1676,3.0991,3.0731,3.0684,3.0396,3.0866,3.1311,3.1835,3.2164,3.2236,3.2257,3.255,3.3089,3.3602
2015-03-02,2.7377,3.2429,3.16,3.0811,3.0231,3.07,3.0488,3.0959,3.1428,3.1881,3.233,3.2585,3.2745,3.307,3.3481,3.3883
2015-03-03,2.7347,3.2729,3.1604,3.0511,3.0233,3.0754,3.0341,3.0843,3.1364,3.1943,3.2541,3.2845,3.3022,3.3333,3.368,3.4022
2015-03-04,2.7307,3.2719,3.2337,3.0811,3.0229,3.0657,3.0291,3.0928,3.1524,3.1983,3.2406,3.2705,3.2926,3.3227,3.3549,3.3869
