date,0d,1m,2m,3m,6m,9m,1y,3y,5y,7y,10y
2021-01-04,0.6282,1.5995,2.1496,2.1518,2.3646,2.4456,2.4952,2.8784,2.9961,3.2124,3.178
2021-01-05,0.6532,1.5995,2.1026,2.1029,2.3465,2.4218,2.4714,2.84,2.9459,3.175,3.1305
2021-01-06,0.5402,1.4967,1.9998,2.0034,2.2397,2.3183,2.4109,2.7911,2.9335,3.145,3.1256
2021-01-07,0.8452,1.4967,1.9515,1.9879,2.21,2.2747,2.3568,2.768,2.9252,3.13,3.1256
2021-01-08,0.8892,1.5448,1.8855,1.897,2.1675,2.2548,2.3568,2.7768,2.9471,3.1525,3.1456
2021-01-11,1.1392,1.5448,1.7778,1.8756,2.1172,2.2005,2.3653,2.7939,2.9682,3.17,3.1632
2021-01-12,1.1892,1.5448,1.8197,1.9029,2.13,2.1711,2.335,2.7499,2.9452,3.1476,3.1457
2021-01-13,1.2892,1.517,1.7919,1.8825,2.0814,2.133,2.2914,2.6975,2.8987,3.1105,3.1157
2021-01-14,1.3495,1.509,1.7901,1.8529,2.0441,2.1821,2.3405,2.7305,2.895,3.0918,3.1059
2021-01-15,1.4125,1.559,1.8503,1.8529,2.066,2.2259,2.3843,2.7875,2.9634,3.1478,3.1508
2021-01-18,1.7125,1.734,1.9469,1.9013,2.125,2.2955,2.45,2.8422,3.0078,3.1749,3.1658
2021-01-19,1.8375,1.8838,2.0283,2.0313,2.1703,2.3407,2.4859,2.8272,2.993,3.1601,3.1609
2021-01-20,1.9375,1.9518,2.0118,2.0513,2.175,2.3302,2.47,2.8014,2.9584,3.1491,3.161
2021-01-21,1.9675,1.9686,2.0083,2.0318,2.1555,2.3098,2.4475,2.76,2.9244,3.1216,3.1335
2021-01-22,1.8305,1.8951,2.0083,2.0316,2.1355,2.2681,2.4525,2.7645,2.9373,3.1112,3.1185
2021-01-25,1.8445,1.8951,2.05,2.0525,2.1492,2.2747,2.4911,2.7844,2.9558,3.1325,3.1323
2021-01-26,2.1205,2.1251,2.1989,2.2014,2.2589,2.3844,2.5575,2.8433,2.999,3.1649,3.1585
2021-01-27,2.1795,2.2851,2.3511,2.3514,2.3539,2.4128,2.588,2.8415,2.9942,3.1699,3.1636
2021-01-28,2.5795,2.5851,2.7,2.6999,2.5543,2.4652,2.6957,2.8915,3.033,3.2,3.1961
2021-01-29,2.8375,2.7871,2.8751,2.5931,2.5256,2.5146,2.6799,2.8849,3.0006,3.18,3.1786
2021-02-01,2.3505,2.3571,2.45,2.4501,2.4235,2.4534,2.6043,2.8464,2.9899,3.1725,3.1712
2021-02-02,2.1505,2.2074,2.3681,2.4001,2.4001,2.416,2.6227,2.8669,3.0102,3.1829,3.1862
2021-02-03,1.9005,2.1824,2.3762,2.4151,2.43,2.43,2.6938,2.907,3.0547,3.21,3.2112
2021-02-04,2.1005,2.2163,2.3715,2.4351,2.4772,2.4414,2.7155,2.9206,3.0851,3.2222,3.2347
2021-02-05,2.0005,2.2045,2.3723,2.4551,2.49,2.4518,2.7021,2.9136,3.0695,3.2046,3.2164
2021-02-07,1.9005,2.1989,2.3721,2.4601,2.4807,2.4424,2.6928,2.9137,3.0775,3.1984,3.2168
2021-02-08,1.8005,2.1577,2.3565,2.4701,2.4802,2.4314,2.6968,2.9072,3.0922,3.2143,3.237
2021-02-09,1.6665,2.0325,2.2861,2.2999,2.3663,2.3966,2.6772,2.8756,3.0731,3.1965,3.2303
2021-02-10,1.8195,1.8575,2.2061,2.21,2.3663,2.3859,2.6559,2.8764,3.0824,3.2157,3.2449
