date,0d,1m,2m,3m,6m,9m,1y,3y,5y,7y,10y
2019-01-02,1.442,2.3345,2.522,2.5237,2.5497,2.5495,2.5014,2.7859,2.9466,3.0876,3.1734
2019-01-03,1.442,2.3087,2.4424,2.4709,2.5001,2.5012,2.5017,2.7776,2.8965,3.1031,3.141
2019-01-04,1.442,2.2738,2.3603,2.3251,2.437,2.4514,2.4525,2.7922,2.885,3.104,3.1513
2019-01-07,1.442,2.2313,2.3499,2.3409,2.4534,2.4138,2.4026,2.7917,2.9303,3.1272,3.1507
2019-01-08,1.409,2.1341,2.25,2.3116,2.3501,2.3503,2.3528,2.753,2.8796,3.0836,3.1211
2019-01-09,1.562,2.2269,2.2815,2.3439,2.4,2.381,2.3777,2.7604,2.8745,3.101,3.1106
2019-01-10,1.662,2.1877,2.2644,2.352,2.3861,2.3662,2.3627,2.7736,2.8954,3.105,3.1006
2019-01-11,1.632,2.2289,2.2366,2.2684,2.3864,2.3995,2.4065,2.792,2.91,3.0939,3.1058
2019-01-14,1.802,2.2543,2.3052,2.3013,2.3859,2.4133,2.426,2.7927,2.9496,3.1075,3.1297
2019-01-15,1.802,2.2941,2.3059,2.2992,2.3874,2.4175,2.4345,2.7922,2.9484,3.1219,3.1383
2019-01-16,1.862,2.3113,2.3152,2.3198,2.3856,2.4094,2.36,2.7457,2.9047,3.0776,3.0745
2019-01-17,1.815,2.2986,2.3095,2.3078,2.3748,2.3994,2.35,2.6873,2.8983,3.0573,3.076
2019-01-18,1.735,2.2736,2.3041,2.2924,2.4129,2.4042,2.3498,2.7061,2.941,3.0791,3.091
2019-01-21,1.805,2.3442,2.405,2.3453,2.386,2.401,2.4209,2.7202,2.9499,3.0828,3.1037
2019-01-22,1.805,2.3315,2.3684,2.3256,2.399,2.4001,2.3999,2.7225,2.9437,3.0699,3.1071
2019-01-23,1.806,2.3153,2.3559,2.3097,2.3936,2.4045,2.4099,2.7326,2.9258,3.0579,3.119
2019-01-24,1.825,2.3162,2.3559,2.3093,2.3878,2.3951,2.4004,2.7339,2.9268,3.0731,3.1338
2019-01-25,1.915,2.3077,2.3064,2.2851,2.3692,2.3805,2.3804,2.7497,2.9475,3.0738,3.1398
