date,0d,1m,2m,3m,6m,9m,1y,3y,5y,7y,10y
2024-12-27,0.5584,0.5646,0.8085,0.8205,0.968,0.9956,1.0393,1.1531,1.4059,1.593,1.6929
2024-12-30,0.5374,0.5646,0.855,0.9086,0.958,1.0473,1.1093,1.1965,1.4413,1.6212,1.7128
2024-12-31,0.5374,0.6646,0.855,0.9091,0.9565,1.0223,1.0843,1.1872,1.4152,1.5887,1.6752
2025-01-02,0.5374,0.6845,0.8948,0.9539,1.0065,1.0216,1.0693,1.1694,1.3976,1.5315,1.6077
2025-01-03,0.5472,0.7244,0.9648,1.0014,1.0057,1.0091,1.0177,1.1122,1.3409,1.4894,1.6041
2025-01-06,0.5572,0.7644,0.991,1.0227,1.0289,1.0341,1.0391,1.1196,1.3493,1.4924,1.5966
2025-01-07,0.6635,0.8811,1.011,1.08,1.08,1.08,1.08,1.1558,1.3895,1.5022,1.6093
2025-01-08,0.7161,0.9511,1.051,1.1,1.1009,1.115,1.12,1.1833,1.3948,1.4997,1.6069
2025-01-09,0.7661,1.0012,1.1385,1.1917,1.1967,1.165,1.17,1.2412,1.4465,1.5322,1.6368
2025-01-10,0.8621,1.1012,1.1987,1.2,1.2,1.1905,1.1961,1.2577,1.4342,1.545,1.6338
2025-01-13,1.05,1.2805,1.4018,1.41,1.41,1.236,1.2361,1.3039,1.4792,1.5675,1.6592
2025-01-14,1.3509,1.4,1.4,1.4002,1.3878,1.2136,1.2161,1.2907,1.4157,1.546,1.6446
2025-01-15,1.37,1.4,1.4,1.4,1.2615,1.2005,1.2061,1.2578,1.4207,1.5486,1.633
2025-01-16,1.47,1.496,1.45,1.45,1.3087,1.2447,1.2217,1.2803,1.4257,1.5486,1.6394
2025-01-17,1.52,1.5411,1.4406,1.4251,1.3012,1.2547,1.2617,1.2806,1.4307,1.5744,1.6593
2025-01-20,1.4586,1.52,1.4457,1.4423,1.4388,1.2609,1.3,1.3059,1.4357,1.5852,1.6747
2025-01-21,1.4026,1.4712,1.4394,1.43,1.4285,1.2555,1.285,1.281,1.4107,1.5656,1.6496
2025-01-22,1.375,1.4437,1.4342,1.4051,1.3764,1.2402,1.285,1.281,1.4257,1.5652,1.6602
2025-01-23,1.375,1.5137,1.4687,1.4135,1.3869,1.2601,1.3099,1.3028,1.4557,1.585,1.6645
2025-01-24,1.375,1.5287,1.4787,1.4416,1.4109,1.28,1.3399,1.3437,1.4657,1.5873,1.6565
2025-01-26,1.274,1.4756,1.4787,1.4196,1.3911,1.2622,1.3474,1.3337,1.4557,1.5873,1.6537
2025-01-27,1.25,1.4562,1.4593,1.3775,1.36,1.2422,1.3036,1.3108,1.4124,1.5484,1.6299
2025-02-05,1.25,1.39,1.39,1.3991,1.3606,1.2317,1.2599,1.309,1.4049,1.5373,1.6207
