date,0d,1m,2m,3m,6m,9m,1y,3y,5y,7y,10y
2018-01-02,2.3548,3.5118,3.848,3.7797,3.7725,3.6968,3.6767,3.7786,3.8262,3.9,3.9008
2018-01-03,2.2613,3.4274,3.4963,3.6554,3.7176,3.66,3.6667,3.7426,3.8503,3.9006,3.9162
2018-01-04,2.2028,3.2802,3.3782,3.514,3.5774,3.58,3.5968,3.7496,3.8804,3.9104,3.9319
2018-01-05,2.1818,2.9845,3.2843,3.4058,3.5255,3.5224,3.5392,3.7164,3.8484,3.9057,3.9212
2018-01-08,2.2179,3.0308,3.1675,3.2977,3.5149,3.5154,3.5336,3.6771,3.8257,3.9005,3.911
2018-01-09,2.2859,2.9731,3.1268,3.2931,3.524,3.53,3.5382,3.6528,3.8255,3.9,3.8909
2018-01-10,2.3999,3.0633,3.1992,3.3434,3.5714,3.563,3.5675,3.651,3.8458,3.8913,3.9201
2018-01-11,2.5889,3.0733,3.2107,3.3677,3.5765,3.5628,3.5675,3.6739,3.8648,3.8913,3.9546
2018-01-12,2.5869,3.0995,3.2709,3.3386,3.5514,3.5744,3.5827,3.6619,3.8598,3.8856,3.9337
2018-01-15,2.5869,3.1456,3.2388,3.3466,3.5401,3.5733,3.5826,3.6787,3.8713,3.9006,3.965
2018-01-16,2.8237,3.1337,3.1899,3.3527,3.5506,3.5742,3.5828,3.663,3.8716,3.9007,3.9596
2018-01-17,3.1713,3.1466,3.194,3.3722,3.5998,3.5624,3.5828,3.6647,3.89,3.9022,3.9597
2018-01-18,3.2086,3.1466,3.2228,3.3759,3.5899,3.5624,3.5828,3.6652,3.9025,3.9203,3.9797
2018-01-19,3.2231,3.1648,3.2541,3.3759,3.5898,3.5428,3.5603,3.6712,3.8825,3.9017,3.9754
2018-01-22,3.0024,3.0965,3.2245,3.3617,3.5494,3.5016,3.5198,3.6585,3.871,3.9317,3.9522
2018-01-23,2.8485,3.062,3.1779,3.3719,3.5497,3.5209,3.5398,3.6448,3.8464,3.9309,3.9414
2018-01-24,2.8205,2.8944,3.0765,3.3478,3.5491,3.5012,3.5198,3.6107,3.8614,3.922,3.9507
2018-01-25,2.7869,2.792,2.9046,3.3514,3.5196,3.4907,3.5098,3.6379,3.8493,3.9128,3.9435
2018-01-26,2.7741,2.7947,2.8568,3.3163,3.5203,3.5013,3.5205,3.6352,3.8348,3.9228,3.9365
2018-01-29,2.7883,2.8272,2.9072,3.3164,3.4999,3.4905,3.5101,3.6112,3.8433,3.9215,3.9368
2018-01-30,2.7763,2.8282,2.9209,3.3266,3.5094,3.4905,3.5101,3.6409,3.8533,3.9186,3.9292
2018-01-31,2.8563,2.8983,2.9906,3.3266,3.5097,3.4952,3.4701,3.6263,3.8337,3.9125,3.914
2018-02-01,2.6921,2.8266,2.9991,3.3682,3.4996,3.4805,3.43,3.6218,3.8339,3.9005,3.9066
2018-02-02,2.6921,2.7508,2.96,3.2736,3.4215,3.4369,3.4404,3.6371,3.834,3.9009,3.9092
2018-02-05,2.6921,2.75,2.9667,3.2932,3.3434,3.4237,3.4514,3.6429,3.85,3.9175,3.9167
2018-02-06,2.6953,2.7273,2.971,3.2532,3.3007,3.3432,3.4088,3.6236,3.8246,3.8803,3.8825
2018-02-07,2.6501,2.6902,2.9773,3.2545,3.3206,3.3841,3.4014,3.6138,3.8195,3.87,3.87
2018-02-08,2.6501,2.6869,3.0156,3.2573,3.3208,3.3533,3.3986,3.6167,3.8215,3.8675,3.8801
2018-02-09,2.6501,2.6682,3.0184,3.2326,3.322,3.3527,3.3938,3.6196,3.8199,3.8712,3.88
2018-02-11,2.6401,2.6829,3.0331,3.2629,3.3217,3.3344,3.3969,3.605,3.8181,3.885,3.8775
2018-02-12,2.6171,2.6832,3.0331,3.265,3.3218,3.3315,3.3868,3.6182,3.8063,3.8696,3.875
2018-02-13,2.6191,2.7155,3.0506,3.2422,3.3127,3.3238,3.388,3.6186,3.8088,3.8684,3.87
2018-02-14,2.6191,2.6604,2.9825,3.2039,3.2807,3.3288,3.374,3.6186,3.8061,3.8573,3.8702
2018-02-22,2.6191,2.6854,3.0311,3.2154,3.3254,3.3353,3.3905,3.6193,3.8175,3.8666,3.8752
2018-02-23,2.5575,2.6104,3.0601,3.1912,3.3312,3.3451,3.3773,3.6092,3.8149,3.8616,3.8702
2018-02-24,2.5205,2.6073,3.0587,3.1914,3.3244,3.3306,3.3773,3.6021,3.8086,3.8608,3.8652
2018-02-26,2.5315,2.6477,3.0734,3.1898,3.2931,3.2836,3.306,3.5404,3.7806,3.8409,3.8452
2018-02-27,2.5215,2.632,3.052,3.1642,3.266,3.2667,3.2713,3.5316,3.7361,3.82,3.8201
2018-02-28,2.6685,2.7262,3.0808,3.2024,3.2444,3.247,3.2314,3.5228,3.7003,3.8159,3.8202
2018-03-01,2.6685,2.8186,3.1449,3.2504,3.2534,3.2538,3.238,3.5337,3.7002,3.8299,3.8201
2018-03-02,2.7505,2.9318,3.1739,3.1876,3.2766,3.2811,3.269,3.5343,3.7105,3.8349,3.8352
2018-03-05,2.7505,2.9369,3.1713,3.1876,3.247,3.2554,3.2769,3.535,3.7428,3.8352,3.8453
2018-03-06,2.7155,2.978,3.1979,3.1988,3.26,3.2601,3.2771,3.5546,3.7428,3.8399,3.8253
2018-03-07,2.6905,3.0006,3.1901,3.1999,3.251,3.2523,3.2583,3.545,3.722,3.82,3.8203
2018-03-08,2.6961,3.0382,3.1928,3.2042,3.2475,3.2457,3.2677,3.5321,3.7197,3.8119,3.8203
2018-03-09,2.6991,3.1103,3.1235,3.1349,3.2044,3.2122,3.2599,3.5305,3.6817,3.8216,3.8278
2018-03-12,2.7121,3.1105,3.1197,3.1468,3.1818,3.2011,3.2779,3.5309,3.6713,3.8067,3.8243
2018-03-13,2.7631,3.0752,3.1144,3.1695,3.2029,3.2224,3.3059,3.5357,3.697,3.8005,3.8362
2018-03-14,2.7591,2.993,3.0638,3.1523,3.1951,3.2146,3.3092,3.5327,3.6973,3.8031,3.8413
2018-03-15,2.7581,2.9933,3.0631,3.1523,3.2012,3.2146,3.3198,3.5424,3.6968,3.803,3.8257
2018-03-16,2.5481,2.9825,3.0818,3.1245,3.2595,3.26,3.3154,3.546,3.6923,3.811,3.8154
2018-03-19,2.5231,2.9608,3.0601,3.1061,3.2357,3.2574,3.3128,3.5463,3.6981,3.81,3.8104
2018-03-20,2.5201,2.99,3.0675,3.0861,3.2292,3.259,3.3144,3.5416,3.6818,3.7804,3.7906
2018-03-21,2.5211,3.0016,3.0724,3.0769,3.209,3.244,3.2846,3.5381,3.683,3.7829,3.763
2018-03-22,2.5111,3.049,3.05,3.0613,3.1931,3.23,3.2698,3.5286,3.6626,3.765,3.748
2018-03-23,2.5071,2.9692,2.9718,2.9847,3.1702,3.1991,3.2367,3.5098,3.6113,3.7401,3.7005
2018-03-26,2.3571,2.994,3.0,2.9847,3.2002,3.2773,3.29,3.5226,3.6204,3.719,3.7307
2018-03-27,2.4056,2.9859,3.0081,3.0214,3.1986,3.3075,3.3221,3.5526,3.6344,3.7354,3.7432
2018-03-28,2.3867,2.9876,3.0244,3.0336,3.2028,3.3085,3.3221,3.5584,3.6503,3.74,3.7406
2018-03-29,2.8207,3.0062,3.0003,3.0003,3.1867,3.3073,3.3221,3.5537,3.6723,3.755,3.7456
2018-03-30,2.9297,3.0921,3.0148,2.9613,3.167,3.3053,3.3221,3.5697,3.6609,3.7402,3.7407
2018-04-02,2.8617,3.057,2.9988,2.9509,3.1153,3.2644,3.2831,3.5579,3.6569,3.7375,3.7357
2018-04-03,2.799,2.8993,2.9408,2.878,3.1099,3.2782,3.2991,3.5515,3.6578,3.76,3.7507
2018-04-04,2.5849,2.7951,2.8156,2.858,3.0879,3.2402,3.2591,3.534,3.6493,3.7501,3.7234
2018-04-08,2.5619,2.7951,2.8156,2.858,3.1042,3.2572,3.2776,3.5229,3.649,3.7491,3.7008
2018-04-09,2.4119,2.7951,2.6028,2.7349,3.1124,3.2137,3.2281,3.4731,3.6066,3.72,3.6959
2018-04-10,2.2619,2.5929,2.6002,2.7349,3.1177,3.2246,3.2384,3.4614,3.5922,3.73,3.7159
2018-04-11,2.1619,2.5997,2.5998,2.7432,3.1221,3.2237,3.2387,3.4398,3.5779,3.715,3.7109
2018-04-12,2.2316,2.5673,2.5693,2.7197,3.0894,3.194,3.2092,3.4105,3.5597,3.715,3.7109
2018-04-13,2.2316,2.5617,2.5693,2.6842,3.0242,3.1843,3.2013,3.3682,3.5205,3.6916,3.7062
2018-04-16,2.2566,2.4925,2.5476,2.6926,2.9348,3.147,3.1707,3.3511,3.4919,3.6507,3.6561
2018-04-17,2.3396,2.5443,2.5548,2.6856,2.9266,3.1377,3.1611,3.3112,3.4696,3.6456,3.6512
2018-04-18,2.3536,2.4774,2.498,2.5017,2.7169,2.8911,2.9125,3.1724,3.3298,3.52,3.5013
2018-04-19,2.6852,2.6057,2.574,2.5517,2.7662,2.9401,2.9611,3.2126,3.3298,3.52,3.5064
2018-04-20,2.6992,2.9235,2.6163,2.5879,2.8068,2.9851,3.0061,3.1928,3.3252,3.5159,3.5215
2018-04-23,2.6992,2.8846,2.7372,2.6921,2.7919,2.9604,3.0484,3.217,3.3306,3.5383,3.6019
2018-04-24,3.3905,3.4121,2.9055,2.7495,2.8221,2.9634,3.0152,3.1779,3.2858,3.5367,3.5855
2018-04-25,2.9902,3.0543,2.9015,2.7394,2.8301,2.9928,3.0247,3.178,3.2657,3.584,3.6118
2018-04-26,3.2512,3.1382,3.1079,2.7394,2.8299,2.9917,3.0279,3.1832,3.286,3.6044,3.6344
2018-04-27,3.2915,3.392,3.3214,2.6895,2.8299,2.9799,3.0155,3.1989,3.2911,3.6307,3.6364
2018-04-28,2.9782,3.26,3.2452,2.6691,2.8102,2.9609,2.9965,3.1927,3.2711,3.6302,3.6217
2018-05-02,2.8742,3.2062,2.8474,2.7022,2.8389,2.9853,3.0208,3.2529,3.2857,3.675,3.6665
2018-05-03,2.8352,2.9012,2.7707,2.6882,2.81,2.9413,2.977,3.241,3.2505,3.6601,3.6467
2018-05-04,2.5152,2.8625,2.7263,2.6518,2.7719,2.9015,2.9372,3.23,3.2505,3.6251,3.6319
2018-05-07,2.5152,2.7535,2.6173,2.648,2.7674,2.8961,2.9319,3.2282,3.2814,3.6458,3.6518
2018-05-08,2.2456,2.4617,2.6173,2.6565,2.7678,2.8875,2.9233,3.235,3.3331,3.6649,3.6922
