date,0d,1m,2m,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y
2013-01-04,1.9617,2.5344,2.8781,2.7876,2.7967,2.8303,2.9189,3.0955,3.136,3.1822,3.2723,3.4246,3.5029,3.5287,3.5659,3.6062
2013-01-05,1.7086,2.427,2.8581,2.7486,2.7717,2.8059,2.8768,3.048,3.0942,3.1579,3.2541,3.4152,3.4961,3.5195,3.5581,3.6003
2013-01-06,1.6036,2.3814,2.8481,2.7178,2.7273,2.7962,2.8688,3.0391,3.0983,3.1537,3.24,3.4047,3.5002,3.5195,3.5555,3.595
2013-01-07,1.5575,2.3641,2.8481,2.7277,2.7136,2.7912,2.8689,3.0415,3.0912,3.1625,3.2407,3.4133,3.495,3.5194,3.5565,3.5965
2013-01-08,1.5496,2.3408,2.8181,2.6878,2.6829,2.7711,2.8498,3.0208,3.0646,3.1399,3.2183,3.4092,3.4743,3.5144,3.5545,3.5943
2013-01-09,1.5116,2.3282,2.8181,2.6975,2.6982,2.7551,2.8341,3.0088,3.0536,3.1483,3.2143,3.4034,3.4673,3.5089,3.5438,3.575
2013-01-10,1.5127,2.3269,2.8181,2.6973,2.7032,2.7639,2.8547,3.0298,3.0741,3.1733,3.2393,3.4168,3.4907,3.5306,3.5637,3.595
2013-01-11,1.5086,2.3357,2.8346,2.7016,2.7074,2.7659,2.8648,3.0427,3.0869,3.2112,3.2607,3.4226,3.512,3.5379,3.5635,3.5999
2013-01-14,1.4827,2.255,2.7624,2.6369,2.675,2.7587,2.8361,3.0653,3.099,3.2277,3.2564,3.423,3.5112,3.5378,3.5707,3.6023
2013-01-15,1.5096,2.2718,2.7291,2.6467,2.675,2.7715,2.7995,3.0485,3.09,3.2175,3.2489,3.4279,3.5014,3.5297,3.5646,3.6008
2013-01-16,1.4257,2.2207,2.7003,2.6319,2.665,2.7775,2.811,3.0535,3.0964,3.2206,3.2497,3.423,3.5035,3.5249,3.5624,3.6047
2013-01-17,1.3336,2.1963,2.6917,2.6301,2.655,2.7664,2.8111,3.0454,3.0911,3.2119,3.2353,3.4176,3.4991,3.5246,3.5606,3.5986
2013-01-18,1.2336,2.0914,2.592,2.6084,2.6299,2.758,2.7811,3.02,3.0784,3.1866,3.213,3.4123,3.4896,3.5152,3.5487,3.5834
2013-01-21,1.1626,2.084,2.5809,2.6117,2.6309,2.714,2.8002,3.0298,3.0729,3.1828,3.2057,3.4171,3.4745,3.5152,3.5468,3.5743
2013-01-22,1.1316,2.0822,2.5855,2.6191,2.6363,2.7021,2.7902,3.0371,3.0729,3.1796,3.2086,3.4251,3.4698,3.5138,3.553,3.5705
2013-01-23,1.1456,2.0779,2.6098,2.6664,2.6662,2.7197,2.8373,3.0372,3.0968,3.1998,3.2293,3.4236,3.4627,3.5055,3.5383,3.5682
2013-01-24,1.2711,2.1292,2.6186,2.6764,2.6911,2.724,2.8383,3.0432,3.1112,3.2044,3.2417,3.4285,3.4797,3.5205,3.5533,3.5816
2013-01-25,1.3076,2.1704,2.5925,2.6636,2.7023,2.7308,2.834,3.0264,3.1074,3.2109,3.2335,3.4159,3.4793,3.5225,3.5558,3.5837
2013-01-28,1.3046,2.085,2.6132,2.6633,2.7135,2.7676,2.8495,3.0431,3.139,3.2232,3.2551,3.4364,3.4884,3.5225,3.5619,3.6042
2013-01-29,1.3046,2.1159,2.6332,2.6744,2.7276,2.7875,2.8226,3.0406,3.1129,3.2202,3.2627,3.4444,3.4955,3.526,3.5576,3.6116
2013-01-30,1.3046,2.0967,2.6432,2.7028,2.7427,2.7484,2.8091,3.0634,3.1274,3.2385,3.2695,3.4443,3.498,3.526,3.5635,3.6053
2013-01-31,1.5146,2.2086,2.6632,2.7132,2.7427,2.7434,2.8047,3.0561,3.1129,3.2256,3.2653,3.4391,3.5002,3.531,3.5665,3.6054
2013-02-01,1.8792,2.33,2.6481,2.7086,2.7331,2.7334,2.8064,3.0509,3.1126,3.2202,3.2633,3.4387,3.4781,3.5226,3.5626,3.6004
2013-02-04,2.0377,2.404,2.6643,2.7134,2.7376,2.6669,2.7824,3.0546,3.1159,3.2242,3.2687,3.4275,3.4812,3.5114,3.5537,3.6016
2013-02-05,2.4546,2.5688,2.6635,2.6937,2.7373,2.6446,2.7709,3.0451,3.1056,3.2145,3.2724,3.4304,3.4708,3.5119,3.5516,3.591
2013-02-06,2.8006,2.715,2.6636,2.6835,2.7376,2.6461,2.7869,3.0436,3.0956,3.2118,3.273,3.4305,3.4612,3.5125,3.5544,3.5922
2013-02-07,2.851,2.7341,2.6636,2.6842,2.7376,2.6477,2.7883,3.0423,3.0855,3.2044,3.2659,3.4351,3.471,3.5122,3.5525,3.5928
2013-02-08,1.9196,2.3591,2.6536,2.6793,2.707,2.6477,2.7658,3.0149,3.066,3.2063,3.2652,3.4163,3.4656,3.5122,3.5508,3.5859
2013-02-16,1.1846,2.0527,2.5736,2.5493,2.607,2.6472,2.7161,3.012,3.0564,3.2,3.2656,3.4232,3.4671,3.5135,3.5538,3.5922
2013-02-17,1.1036,1.9414,2.4986,2.5442,2.5897,2.6459,2.7117,3.0022,3.051,3.1954,3.2665,3.424,3.4644,3.5138,3.5512,3.5847
2013-02-18,1.0706,1.977,2.5651,2.6001,2.6246,2.6416,2.722,3.0361,3.066,3.2306,3.2692,3.426,3.4723,3.508,3.5493,3.5929
2013-02-19,1.074,1.9899,2.578,2.6101,2.6299,2.6542,2.7091,3.0288,3.0613,3.2409,3.2776,3.4342,3.4772,3.5081,3.5482,3.5931
2013-02-20,1.0845,2.0214,2.598,2.61,2.6299,2.6567,2.6929,3.0138,3.0638,3.2387,3.2652,3.4196,3.4598,3.4971,3.5312,3.5632
2013-02-21,1.2227,2.081,2.603,2.6067,2.63,2.6712,2.7059,3.0147,3.0672,3.2487,3.2794,3.4201,3.4627,3.4982,3.531,3.5623
2013-02-22,1.4046,2.0864,2.5623,2.6174,2.6393,2.6965,2.7107,3.0174,3.0828,3.2703,3.2811,3.4356,3.4747,3.4986,3.5322,3.5708
2013-02-25,1.5407,2.1977,2.6121,2.6274,2.6493,2.7056,2.7199,3.0459,3.1081,3.289,3.2967,3.4498,3.4792,3.5144,3.5482,3.5821
2013-02-26,2.8447,2.7297,2.6603,2.6774,2.6865,2.7618,2.7862,3.0762,3.1082,3.293,3.3018,3.4501,3.481,3.5156,3.554,3.5948
2013-02-27,3.0866,2.8132,2.6491,2.6674,2.6815,2.7295,2.7528,3.0657,3.1025,3.2762,3.2928,3.4425,3.4762,3.5141,3.5517,3.5904
2013-02-28,3.1656,2.8834,2.6992,2.6874,2.7115,2.7411,2.7612,3.0767,3.1078,3.288,3.2978,3.448,3.4769,3.5181,3.5605,3.5957
2013-03-01,3.2906,2.9304,2.7028,2.6962,2.734,2.7479,2.7727,3.0641,3.1136,3.291,3.3048,3.4484,3.4744,3.5135,3.5507,3.5878
2013-03-04,2.4481,2.6073,2.7028,2.6991,2.7264,2.7367,2.7727,3.0603,3.0943,3.2623,3.2707,3.4362,3.4731,3.5129,3.5471,3.5785
2013-03-05,2.1727,2.4734,2.6828,2.707,2.7219,2.7342,2.7656,3.0572,3.0935,3.25,3.2721,3.4343,3.4626,3.516,3.5497,3.576
