date,0d,1m,2m,3m,6m,9m,1y,3y,5y,7y,10y
2024-01-02,1.4604,1.7412,1.8,1.8057,2.082,2.0831,2.1166,2.342,2.4374,2.56,2.5601
2024-01-03,1.4804,1.7512,1.8,1.8091,2.0998,2.0908,2.1416,2.3381,2.4212,2.5452,2.5531
2024-01-04,1.5404,1.8012,1.846,1.8406,2.1212,2.125,2.1541,2.3269,2.4089,2.535,2.5368
2024-01-05,1.5204,1.8082,1.8499,1.8025,2.0815,2.085,2.1091,2.2931,2.3903,2.5175,2.5175
2024-01-08,1.5204,1.7999,1.8,1.8125,2.0682,2.0888,2.1191,2.3083,2.408,2.5175,2.5136
2024-01-09,1.5204,1.7523,1.7956,1.8208,2.0891,2.0709,2.0991,2.2909,2.3905,2.495,2.4862
2024-01-10,1.4904,1.7778,1.8023,1.8196,2.08,2.08,2.1091,2.2973,2.4062,2.502,2.4982
2024-01-11,1.5204,1.7831,1.7991,1.8296,2.0791,2.0655,2.0941,2.2942,2.4042,2.5026,2.4992
2024-01-12,1.5404,1.7897,1.7804,1.8308,2.079,2.0654,2.0941,2.2941,2.4156,2.52,2.5172
2024-01-15,1.5913,1.7991,1.7971,1.8508,2.07,2.07,2.0991,2.3008,2.4256,2.525,2.5212
2024-01-16,1.6,1.8169,1.8421,1.8708,2.08,2.08,2.1091,2.315,2.4406,2.525,2.5252
2024-01-17,1.5,1.8269,1.8887,2.0057,2.075,2.075,2.1041,2.3055,2.4003,2.512,2.5077
2024-01-18,1.5,1.8544,1.9032,2.0073,2.07,2.07,2.0991,2.3072,2.3954,2.5135,2.5092
2024-01-19,1.5,1.8414,1.911,1.9792,2.0487,2.0548,2.0841,2.2901,2.378,2.505,2.5027
2024-01-22,1.5,1.8214,1.871,1.9866,2.0407,2.0518,2.0813,2.2813,2.3709,2.4902,2.4922
2024-01-23,1.5,1.818,1.8794,1.9787,2.0382,2.0547,2.0841,2.2975,2.3835,2.504,2.5042
2024-01-24,1.6,1.8219,1.9296,1.9787,2.0274,2.0399,2.0691,2.2675,2.3713,2.505,2.5042
2024-01-25,1.6,1.8194,1.9024,1.955,1.9962,2.005,2.0342,2.2358,2.3314,2.4815,2.4984
2024-01-26,1.6,1.8486,1.8758,1.9042,1.9865,1.9951,2.0229,2.2391,2.3441,2.4839,2.4994
2024-01-29,1.6,1.7944,1.8108,1.862,1.9498,1.94,1.9401,2.2158,2.3222,2.474,2.494
2024-01-30,1.6,1.7024,1.7027,1.8096,1.8725,1.8799,1.8751,2.1721,2.2849,2.4324,2.4557
2024-01-31,1.6736,1.7325,1.7537,1.791,1.8706,1.8948,1.8802,2.193,2.2872,2.4167,2.433
2024-02-01,1.6416,1.6825,1.705,1.7753,1.8572,1.8898,1.8802,2.2107,2.3048,2.4215,2.4354
2024-02-02,1.65,1.6817,1.712,1.7718,1.8782,1.8949,1.8903,2.1886,2.2799,2.4115,2.4244
2024-02-04,1.64,1.6593,1.732,1.7718,1.8738,1.8801,1.8803,2.1743,2.2728,2.3961,2.4053
2024-02-05,1.69,1.7,1.7041,1.7505,1.8445,1.8622,1.8829,2.1887,2.2751,2.3978,2.4002
2024-02-06,1.69,1.7012,1.7075,1.7558,1.8518,1.8741,1.9269,2.2405,2.3329,2.4503,2.4525
2024-02-07,1.69,1.704,1.7075,1.744,1.8511,1.8628,1.9287,2.1864,2.2985,2.415,2.4153
2024-02-08,1.615,1.629,1.7,1.7277,1.8541,1.8841,1.9265,2.1891,2.2885,2.4353,2.4379
2024-02-09,1.565,1.599,1.685,1.7127,1.8481,1.8841,1.9265,2.1891,2.2885,2.43,2.4302
2024-02-18,1.515,1.587,1.6506,1.687,1.8593,1.878,1.9292,2.1884,2.2972,2.4356,2.4393
2024-02-19,1.4726,1.5401,1.5965,1.6713,1.8779,1.8403,1.9157,2.1909,2.3058,2.4263,2.4344
2024-02-20,1.5,1.5381,1.598,1.6632,1.7937,1.7999,1.8649,2.1634,2.2759,2.4041,2.4134
2024-02-21,1.475,1.4995,1.5874,1.6017,1.7497,1.7675,1.8149,2.1634,2.2683,2.4018,2.4119
2024-02-22,1.5,1.5,1.5563,1.6052,1.744,1.7527,1.7731,2.1284,2.2439,2.3835,2.4033
2024-02-23,1.48,1.48,1.546,1.5512,1.7215,1.7511,1.7699,2.1234,2.2495,2.381,2.4009
2024-02-26,1.48,1.4898,1.5491,1.5512,1.7129,1.757,1.767,2.1134,2.2244,2.3629,2.3789
2024-02-27,1.48,1.48,1.5526,1.5855,1.6785,1.7606,1.7739,2.1334,2.2419,2.3675,2.3809
2024-02-28,1.4606,1.4606,1.6,1.6625,1.7031,1.7684,1.7863,2.1103,2.2223,2.34,2.3376
2024-02-29,1.4504,1.4527,1.5945,1.6454,1.6939,1.767,1.7871,2.1005,2.2178,2.34,2.3375
2024-03-01,1.4415,1.4439,1.5878,1.628,1.6885,1.7738,1.7833,2.1405,2.2632,2.3799,2.3675
2024-03-04,1.4707,1.5039,1.5931,1.6055,1.6643,1.7479,1.7612,2.123,2.2489,2.3569,2.3475
2024-03-05,1.4787,1.5179,1.5863,1.5955,1.7017,1.7448,1.7732,2.1108,2.2285,2.3358,2.3169
2024-03-06,1.4727,1.5146,1.5857,1.6006,1.7026,1.7406,1.7574,2.0708,2.1675,2.2828,2.265
2024-03-07,1.4727,1.5054,1.5674,1.5809,1.6528,1.7354,1.7578,2.0857,2.1959,2.2973,2.2776
2024-03-08,1.4797,1.5307,1.5692,1.5819,1.6641,1.7408,1.7525,2.0906,2.2089,2.3023,2.2825
2024-03-11,1.5,1.5363,1.5832,1.6056,1.6655,1.7483,1.7575,2.111,2.232,2.3198,2.305
2024-03-12,1.5,1.5361,1.5829,1.5931,1.6673,1.7733,1.7975,2.1517,2.2716,2.3598,2.3476
2024-03-13,1.5,1.5517,1.614,1.6237,1.6762,1.7768,1.8175,2.1548,2.2587,2.3448,2.3326
2024-03-14,1.48,1.59,1.6219,1.6437,1.6969,1.7973,1.8475,2.1528,2.2595,2.3672,2.3425
2024-03-15,1.48,1.5988,1.6237,1.6537,1.6907,1.7748,1.8325,2.1276,2.2428,2.3496,2.32
2024-03-18,1.48,1.5963,1.6,1.6724,1.6813,1.721,1.7825,2.0812,2.2168,2.3294,2.2926
2024-03-19,1.46,1.5793,1.6106,1.6739,1.6873,1.7348,1.7725,2.0742,2.2074,2.3154,2.2801
2024-03-20,1.4,1.573,1.6,1.6658,1.6835,1.7342,1.7725,2.0828,2.2233,2.3369,2.2951
2024-03-21,1.4,1.6105,1.63,1.6412,1.7004,1.7368,1.7625,2.063,2.2036,2.322,2.2851
2024-03-22,1.35,1.6294,1.64,1.6403,1.6952,1.7353,1.7625,2.0695,2.2143,2.337,2.3051
2024-03-25,1.35,1.6141,1.65,1.65,1.7073,1.7498,1.7875,2.0793,2.2281,2.3543,2.3151
2024-03-26,1.45,1.6264,1.63,1.6365,1.6829,1.7554,1.79,2.08,2.2279,2.3593,2.3175
2024-03-27,1.45,1.6264,1.63,1.6408,1.6679,1.7212,1.7525,2.0545,2.1948,2.32,2.2876
2024-03-28,1.5132,1.6181,1.6301,1.6411,1.6685,1.722,1.7525,2.0549,2.2112,2.33,2.3026
2024-03-29,1.4972,1.6245,1.6302,1.6414,1.6591,1.7028,1.7225,2.0315,2.1974,2.3175,2.2901
2024-04-01,1.4572,1.6,1.6021,1.6333,1.6464,1.7201,1.7425,2.0643,2.2172,2.3375,2.3082
2024-04-02,1.4372,1.5638,1.6199,1.6202,1.6329,1.7062,1.7275,2.0553,2.1967,2.3225,2.2927
2024-04-03,1.4172,1.5297,1.5901,1.6122,1.6249,1.7015,1.7225,2.0428,2.1897,2.31,2.2837
2024-04-07,1.4442,1.5553,1.5816,1.6102,1.6189,1.7039,1.7225,2.0446,2.1946,2.3175,2.2937
2024-04-08,1.4442,1.5214,1.5676,1.5892,1.5988,1.6847,1.7025,2.02,2.169,2.3,2.2822
2024-04-09,1.4442,1.5311,1.5545,1.5792,1.5848,1.6752,1.6925,2.0183,2.1533,2.295,2.2802
2024-04-10,1.4865,1.5549,1.5598,1.5601,1.6148,1.6777,1.7033,2.0187,2.1591,2.3025,2.2972
2024-04-11,1.4865,1.5176,1.5458,1.5501,1.6084,1.6748,1.7033,2.0164,2.1378,2.2901,2.2928
2024-04-12,1.4788,1.5135,1.5454,1.5502,1.6051,1.6682,1.6958,1.9925,2.1119,2.2583,2.2837
2024-04-15,1.4363,1.5248,1.54,1.5407,1.6051,1.6778,1.7033,2.0135,2.1263,2.254,2.2798
2024-04-16,1.4,1.5117,1.54,1.541,1.6156,1.6983,1.7233,2.0212,2.1288,2.2447,2.2723
